City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
83,Emba,KZ,2020-04-19 06:36:48,48.83,58.14,57.83,49,98,4.83,overcast clouds,0.0,0.0
84,Pevek,RU,2020-04-19 06:33:55,69.7,170.31,3.31,94,74,4.61,broken clouds,0.0,0.0
85,Ambon,ID,2020-04-19 06:36:49,-3.7,128.18,89.6,66,40,10.29,shower rain,0.0,0.0
86,Port Elizabeth,ZA,2020-04-19 06:36:49,-33.92,25.57,60.8,93,0,3.36,clear sky,0.0,0.0
87,Sampit,ID,2020-04-19 06:36:49,-2.53,112.95,76.15,98,100,2.1,light rain,2.04,0.0
88,Uyuni,BO,2020-04-19 06:36:49,-20.46,-66.83,43.9,20,0,3.74,clear sky,0.0,0.0
89,Souillac,MU,2020-04-19 06:33:01,-20.52,57.52,82.4,58,20,11.41,few clouds,0.0,0.0
90,Yulara,AU,2020-04-19 06:36:50,-25.24,130.99,96.8,16,62,9.17,broken clouds,0.0,0.0
91,Tiarei,PF,2020-04-19 06:36:50,-17.53,-149.33,78.8,88,75,4.7,broken clouds,0.0,0.0
92,Hay River,CA,2020-04-19 06:36:50,60.82,-115.8,37.4,74,75,14.99,broken clouds,0.0,0.0
93,Vao,NC,2020-04-19 06:33:41,-22.67,167.48,77.31,74,1,10.71,clear sky,0.0,0.0
94,Yellowknife,CA,2020-04-19 06:36:51,62.46,-114.35,30.2,74,75,18.34,broken clouds,0.0,0.0
95,Cururupu,BR,2020-04-19 06:33:18,-1.83,-44.87,75.65,89,79,0.96,light rain,0.11,0.0
96,Bastia,FR,2020-04-19 06:36:52,42.67,9.33,62.01,87,75,2.24,broken clouds,0.0,0.0
97,Monrovia,LR,2020-04-19 06:31:58,6.3,-10.8,77.0,94,75,5.46,broken clouds,0.0,0.0
98,Shelburne,CA,2020-04-19 06:36:52,44.08,-80.2,46.4,69,1,13.87,clear sky,0.0,0.0
99,Boca Do Acre,BR,2020-04-19 06:36:52,-8.75,-67.4,67.93,75,9,2.53,clear sky,0.0,0.0
100,Bambous Virieux,MU,2020-04-19 06:36:53,-20.34,57.76,82.4,58,20,11.41,few clouds,0.0,0.0
101,Muros,ES,2020-04-19 06:36:53,42.78,-9.06,48.0,95,0,3.02,clear sky,0.0,0.0
102,Calama,CL,2020-04-19 06:34:49,-22.47,-68.93,50.0,25,0,14.99,clear sky,0.0,0.0
103,Nishihara,JP,2020-04-19 06:36:53,26.18,127.76,77.0,78,90,14.99,overcast clouds,0.0,0.0
104,Abu Zabad,SD,2020-04-19 06:36:53,12.35,29.25,83.55,14,97,17.2,overcast clouds,0.0,0.0
105,Hinesville,US,2020-04-19 06:36:54,31.85,-81.6,64.99,87,1,2.84,clear sky,0.0,0.0
106,Lodja,CD,2020-04-19 06:36:54,-3.48,23.43,71.96,84,100,1.63,light rain,1.18,0.0
107,Hilo,US,2020-04-19 06:34:34,19.73,-155.09,73.4,69,75,3.36,broken clouds,0.0,0.0
108,Taltal,CL,2020-04-19 06:36:54,-25.4,-70.48,60.12,74,2,1.07,clear sky,0.0,0.0
109,Puerto Baquerizo Moreno,EC,2020-04-19 06:36:55,-0.9,-89.6,78.13,83,12,8.75,few clouds,0.0,0.0
110,New Norfolk,AU,2020-04-19 06:36:55,-42.78,147.06,55.99,74,89,1.66,overcast clouds,0.0,0.0
111,Albany,US,2020-04-19 06:35:57,42.6,-73.97,30.0,89,0,5.35,clear sky,0.0,0.0
112,Luderitz,NA,2020-04-19 06:36:55,-26.65,15.16,59.0,87,8,3.36,clear sky,0.0,0.0
113,Portland,US,2020-04-19 06:34:45,45.52,-122.68,51.01,93,78,1.41,broken clouds,0.0,0.0
114,Bredasdorp,ZA,2020-04-19 06:36:55,-34.53,20.04,60.8,59,93,3.36,overcast clouds,0.0,0.0
115,Thompson,CA,2020-04-19 06:36:56,55.74,-97.86,-7.6,69,5,3.96,clear sky,0.0,0.0
116,Portobelo,PA,2020-04-19 06:36:56,9.55,-79.65,78.01,74,31,1.01,scattered clouds,0.0,0.0
117,Fortuna,US,2020-04-19 06:36:56,40.6,-124.16,51.01,100,90,4.7,overcast clouds,0.0,0.0
118,Tieling,CN,2020-04-19 06:36:56,42.29,123.84,63.64,38,100,16.8,light rain,0.18,0.0
119,Ponta Do Sol,PT,2020-04-19 06:32:45,32.67,-17.1,55.99,63,8,13.0,clear sky,0.0,0.0
120,Xinzhou,CN,2020-04-19 06:36:57,38.41,112.73,68.45,20,5,11.72,clear sky,0.0,0.0
121,Adrar,MR,2020-04-19 06:36:57,20.5,-10.07,69.62,25,12,17.22,few clouds,0.0,0.0
122,Qaanaaq,GL,2020-04-19 06:36:57,77.48,-69.36,14.74,84,100,18.52,overcast clouds,0.0,0.0
123,Mwinilunga,ZM,2020-04-19 06:36:57,-11.74,24.43,64.29,59,61,9.33,broken clouds,0.0,0.0
124,Cidreira,BR,2020-04-19 06:36:57,-30.18,-50.21,65.95,85,0,12.84,clear sky,0.0,0.0
125,Esperance,AU,2020-04-19 06:36:57,-33.87,121.9,71.6,53,75,21.92,broken clouds,0.0,0.0
