City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
105,Hinesville,US,64.99,31.85,-81.6,clear sky,Holiday Inn Express & Suites Hinesville East - Fort Stewart
106,Lodja,CD,71.96,-3.48,23.43,light rain,
107,Hilo,US,73.4,19.73,-155.09,broken clouds,Hilo Hawaiian Hotel
108,Taltal,CL,60.12,-25.4,-70.48,clear sky,Residencial Karime
109,Puerto Baquerizo Moreno,EC,78.13,-0.9,-89.6,few clouds,Hotel los Algarrobos
114,Bredasdorp,ZA,60.8,-34.53,20.04,overcast clouds,Bredasdorp Country Manor
116,Portobelo,PA,78.01,9.55,-79.65,scattered clouds,Scuba Portobelo
118,Tieling,CN,63.64,42.29,123.84,light rain,Tieling 99 Yuejia Business Guest House
120,Xinzhou,CN,68.45,38.41,112.73,clear sky,Shell Hotel - Xinzhou
121,Adrar,MR,69.62,20.5,-10.07,few clouds,
123,Mwinilunga,ZM,64.29,-11.74,24.43,broken clouds,Kwakuwahi Lodge
124,Cidreira,BR,65.95,-30.18,-50.21,clear sky,Novomar Pousada e Turismo Ltda
125,Esperance,AU,71.6,-33.87,121.9,broken clouds,Hospitality Esperance
127,Saint-Pierre,RE,82.4,-21.34,55.48,few clouds,Lindsey Hôtel
129,Galesong,ID,87.8,-5.32,119.37,scattered clouds,Sapriadi Appy
130,Sao Domingos Do Maranhao,BR,71.78,-5.58,-44.39,light rain,Pousada Babaçu
131,Cayenne,GF,77.0,4.93,-52.33,light rain,Hôtel Le Dronmi
132,Chuy,UY,63.01,-33.7,-53.46,clear sky,Nuevo Hotel Plaza
133,Buala,SB,83.77,-8.14,159.59,light rain,Maringe Lagoon Lodge
136,Kokopo,PG,82.78,-4.35,152.26,light rain,Kokopo Beach Bungalow Resort
137,Zhangye,CN,61.81,38.93,100.45,few clouds,Zhangye Lvzhou Holiday Inn
138,Misratah,LY,63.5,32.38,15.09,few clouds,فندق الماسة
142,Kirakira,SB,82.29,-10.45,161.92,light rain,SanBiz Lodge
143,Mozarlandia,BR,69.82,-14.74,-50.57,broken clouds,Hotel Santa Mônica
144,Banyo,CM,69.8,6.75,11.82,light rain,Motel JOMBA
147,Port Augusta,AU,75.2,-32.5,137.77,overcast clouds,Majestic Oasis Apartments
148,Mikropolis,GR,60.01,41.19,23.82,broken clouds,
149,Praia,CV,71.6,14.92,-23.51,broken clouds,LT Aparthotel
152,Hit,IQ,79.84,33.64,42.83,clear sky,بيت اسماعبل محمد حمد
154,San Patricio,MX,74.43,19.22,-104.7,scattered clouds,Hotel Cabo Blanco
155,Manggar,ID,85.08,-2.88,108.27,moderate rain,Guest Hotel
157,Richards Bay,ZA,72.75,-28.78,32.04,scattered clouds,BON Hotel Waterfront Richards Bay
160,San Policarpo,PH,83.41,12.18,125.51,few clouds,Zal-Ann Beach Resort
164,Guaruja,BR,70.0,-23.99,-46.26,light rain,Charme Hotel Guarujá
165,Lodwar,KE,77.97,3.12,35.6,moderate rain,Turkwel Lodge
166,Cabo San Lucas,MX,66.0,22.89,-109.91,clear sky,Hotel Tesoro Los Cabos
168,Omboue,GA,79.09,-1.57,9.26,scattered clouds,Hotel Olako
169,Sasayama,JP,62.6,35.07,135.22,broken clouds,Panasonic Group Trade Union Federation Holiday Resort UNITOPIA SASAYAMA
170,Saint-Philippe,RE,82.4,-21.36,55.77,few clouds,"Chambres d'hôte ""La Trinité"""
171,Sambava,MG,82.42,-14.27,50.17,broken clouds,Melrose
173,Yunyang,CN,70.57,33.45,112.71,clear sky,Post & Telecom Hotel
177,Laela,TZ,62.26,-8.57,32.05,overcast clouds,
179,Hami,CN,70.83,42.8,93.45,broken clouds,Laoyutang Resort
180,San Felipe,VE,71.46,10.34,-68.74,broken clouds,Posada Llovizna Rodríguez
182,Tobe,JP,64.0,33.74,132.79,broken clouds,南道後温泉ホテル ていれぎ館
184,Gamba,GA,78.42,-2.65,10.0,broken clouds,
187,Gizo,SB,83.86,-8.1,156.84,light rain,Imagination Island
190,Gasa,PS,71.01,31.5,34.47,few clouds,منزل المختار صابر ابو بيض
191,Sechura,PE,72.54,-5.56,-80.82,clear sky,Hospedaje Costa Bella
192,Jequitinhonha,BR,69.31,-16.43,-41.0,overcast clouds,Hotel Bela Vista
193,Puerto Quijarro,BO,68.2,-17.78,-57.77,few clouds,Hotel palance
194,Axim,GH,80.24,4.87,-2.24,light rain,AXIM BEACH RESORT AND SPA
196,Jhawarian,PK,84.79,32.36,72.62,clear sky,KHAWAJA NADEEM TIKA SHOP
197,Yaan,NG,78.28,7.38,8.57,overcast clouds,
199,Cairns,AU,87.01,-16.92,145.77,scattered clouds,Mantra Trilogy Cairns
201,Katobu,ID,89.35,-4.94,122.53,light rain,La Ode Gombe
202,Belmonte,BR,73.4,-15.86,-38.88,broken clouds,Pousada Monte Carmelo O Pão
203,Mayumba,GA,78.96,-3.43,10.66,light rain,LIKWALE LODGE
206,Egypt Lake-Leto,US,75.2,28.02,-82.51,scattered clouds,Tampa Stadium Hotel
207,Teguise,ES,62.6,29.06,-13.56,few clouds,B&B La Casona de Nazaret
209,Rundu,,62.6,-17.93,19.77,overcast clouds,Millennia Estate
210,Kavieng,PG,84.13,-2.57,150.8,light rain,Nusa Island Retreat
211,Adeje,ES,60.8,28.12,-16.73,few clouds,Gran Tacande Wellness & Relax Costa Adeje
212,Xiaoyi,CN,75.15,34.62,109.7,clear sky,
